22800,0.2529,0.258
22900,0.2529,0.2579
23000,0.2528,0.2578
23100,0.2527,0.2577
23200,0.2526,0.2576
23300,0.2526,0.2575
23400,0.2525,0.2574
23500,0.2524,0.2573
23600,0.2524,0.2572
23700,0.2523,0.2572
23800,0.2522,0.2571
23900,0.2521,0.257
24000,0.2521,0.2569
24100,0.252,0.2568
24200,0.2519,0.2567
24300,0.2519,0.2566
24400,0.2518,0.2565
24500,0.2517,0.2565
24600,0.2517,0.2564
24700,0.2516,0.2563
24800,0.2516,0.2562
24900,0.2515,0.2561
25000,0.2514,0.256
25100,0.2514,0.256
25200,0.2513,0.2559
25300,0.2512,0.2558
25400,0.2512,0.2557
25500,0.2511,0.2557
25600,0.2511,0.2556
25700,0.251,0.2555
25800,0.251,0.2554
25900,0.2509,0.2554
26000,0.2508,0.2553
26100,0.2508,0.2552
26200,0.2507,0.2551
26300,0.2507,0.2551
26400,0.2506,0.255
26500,0.2506,0.2549
26600,0.2505,0.2548
26700,0.2505,0.2548
26800,0.2504,0.2547
26900,0.2503,0.2546
27000,0.2503,0.2546
27100,0.2502,0.2545
27200,0.2502,0.2544
27300,0.2501,0.2544
27400,0.2501,0.2543
27500,0.25,0.2542
27600,0.25,0.2542
27700,0.2499,0.2541
27800,0.2499,0.2541
27900,0.2499,0.254
28000,0.2498,0.2539
28100,0.2498,0.2539
28200,0.2497,0.2538
28300,0.2497,0.2537
28400,0.2496,0.2537
28500,0.2496,0.2536
28600,0.2495,0.2536
28700,0.2495,0.2535
28800,0.2494,0.2534
28900,0.2494,0.2534
29000,0.2493,0.2533
29100,0.2493,0.2533
29200,0.2493,0.2532
29300,0.2492,0.2532
29400,0.2492,0.2531
29500,0.2491,0.253
29600,0.2491,0.253
29700,0.249,0.2529
29800,0.249,0.2529
29900,0.249,0.2528
30000,0.2489,0.2528
30100,0.2489,0.2527
30200,0.2488,0.2527
30300,0.2488,0.2526
30400,0.2488,0.2526
30500,0.2487,0.2525
30600,0.2487,0.2525
30700,0.2487,0.2524
30800,0.2486,0.2524
30900,0.2486,0.2523
31000,0.2485,0.2523
31100,0.2485,0.2522
31200,0.2485,0.2522
31300,0.2484,0.2521
31400,0.2484,0.2521
31500,0.2484,0.252
31600,0.2483,0.252
31700,0.2483,0.2519
31800,0.2482,0.2519
31900,0.2482,0.2518
32000,0.2482,0.2518
32100,0.2481,0.2517
32200,0.2481,0.2517
32300,0.2481,0.2516
32400,0.248,0.2516
32500,0.248,0.2516
32600,0.248,0.2515
32700,0.2479,0.2515
32800,0.2479,0.2514
32900,0.2479,0.2514
33000,0.2478,0.2513
33100,0.2478,0.2513
33200,0.2478,0.2513
33300,0.2477,0.2512
33400,0.2477,0.2512
33500,0.2477,0.2511
33600,0.2476,0.2511
33700,0.2476,0.251
33800,0.2476,0.251
33900,0.2476,0.251
34000,0.2475,0.2509
34100,0.2475,0.2509
34200,0.2475,0.2508
34300,0.2474,0.2508
34400,0.2474,0.2508
34500,0.2474,0.2507
34600,0.2473,0.2507
34700,0.2473,0.2506
34800,0.2473,0.2506
34900,0.2473,0.2506
35000,0.2472,0.2505
35100,0.2472,0.2505
35200,0.2472,0.2505
35300,0.2471,0.2504
35400,0.2471,0.2504
35500,0.2471,0.2503
35600,0.2471,0.2503
35700,0.247,0.2503
35800,0.247,0.2502
35900,0.247,0.2502
36000,0.247,0.2502
36100,0.2469,0.2501
36200,0.2469,0.2501
36300,0.2469,0.2501
36400,0.2468,0.25
36500,0.2468,0.25
36600,0.2468,0.25
36700,0.2468,0.2499
36800,0.2467,0.2499
36900,0.2467,0.2498
37000,0.2467,0.2498
37100,0.2467,0.2498
37200,0.2466,0.2497
37300,0.2466,0.2497
